name,full_name,category,level,aliases,notes
KICPA,한국공인회계사,회계/재무,상,CPA;공인회계사,
AICPA,미국공인회계사,회계/재무,상,US CPA,
CFA,국제재무분석사,회계/재무,상,Chartered Financial Analyst,
FRM,국제재무위험관리사,회계/재무,중,Financial Risk Manager,
변호사,변호사,법률,상,Lawyer;Attorney,
변리사,변리사,법률,상,Patent Attorney,
법무사,법무사,법률,중,,
기술사,기술사,기술/엔지니어링,상,Professional Engineer;PE,
기사,기사,기술/엔지니어링,중,Engineer,
정보처리기사,정보처리기사,IT,중,,
CISSP,국제공인정보시스템보안전문가,IT,상,Certified Information Systems Security Professional,
PMP,프로젝트관리전문가,IT,중,Project Management Professional,
AWS SAA,AWS 솔루션즈 아키텍트 어소시에이트,IT,중,AWS Solutions Architect,
의사,의사면허,의료/제약,상,Doctor;MD,
약사,약사면허,의료/제약,상,Pharmacist,
관세사,관세사,무역/물류,상,Customs Broker,
건축사,건축사,건설/부동산,상,Architect,
TOEIC,TOEIC,어학,하,토익,
TOEFL,TOEFL,어학,중,토플,
산업안전기사,산업안전기사,안전/품질,중,,
